season,episode,transcript,num_words
1,1,Who's Paul?,2
1,1,"Paul the Wine Guy, Paul?",5
1,1,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,15
1,1,He finally asked you out?,5
1,1,Yes!,1
1,1,"Ooh, this is a Dear Diary moment.",7
1,1,"Rach, wait, I can cancel...",5
1,1,"Please, no, go, that'd be fine!",6
1,1,"Are, are you okay? I mean, do you want me to stay?",12
1,1,That'd be good...,3
1,1,Really?,1
1,1,"No, go on! It's Paul the Wine Guy!",8
1,1,"What does that mean? Does he sell it, drink it, or just complain a lot?",15
1,1,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",12
1,1,Hey! Paul! Hi! The Wine Guy! Hey!,7
1,1,"I'm sorry, I didn't catch your name. Paul, was it?",10
1,1,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",14
1,1,A wandering?,2
1,1,"Change! Okay, sit down. Two seconds.",6
1,1,"Ooh, I just pulled out four eyelashes. That can't be good.",11
1,1,"Hey, Paul!",2
1,1,Yeah?,1
1,1,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",31
1,1,"Shut up, Joey!",3
1,1,"So Rachel, what're you, uh... what're you up to tonight?",10
1,1,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",15
1,1,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",44
1,1,"Yes, and we're very excited about it.",7
1,1,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.",19
1,1,"Okay, sure.",2
1,1,"Hey Pheebs, you wanna help?",5
1,1,"Oh, I wish I could, but I don't want to.",10
1,1,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!",32
1,1,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",36
1,1,I'm thinking we've got a bookcase here.,7
1,1,It's a beautiful thing.,4
1,1,What's this?,2
1,1,I would have to say that is an 'L'-shaped bracket.,10
1,1,Which goes where?,3
1,1,I have no idea.,4
1,1,Done with the bookcase!,4
1,1,All finished!,2
1,1,"This was Carol's favorite beer. She always drank it out of the can, I should have known.",17
1,1,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",11
1,1,"Yes, please don't spoil all this fun.",7
1,1,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",20
1,1,You guys.,2
1,1,"Oh, God.",2
1,1,You got screwed.,3
1,1,Oh my God!,3
1,1,Oh my God!,3
1,1,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",35
1,1,"My brother's going through that right now, he's such a mess. How did you get through it?",17
1,1,"Well, you might try accidentally breaking something valuable of hers, say her-",12
1,1,-leg?,1
1,1,"That's one way! Me, I- I went for the watch.",10
1,1,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",20
1,1,"Ooh, steer clear of you.",5
1,1,That's right.,2
1,1,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too...",95
1,1,I'm divorced! I'm only 26 and I'm divorced!,8
1,1,Shut up!,2
1,1,You must stop!,3
1,1,That only took me an hour.,6
1,1,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",62
1,1,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",38
1,1,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",77
1,1,I honestly don't know if I'm hungry or horny.,9
1,1,Stay out of my freezer!,5
1,1,"Ever since she walked out on me, I, uh...",9
1,1,"What?..... What, you wanna spell it out with noodles?",9
1,1,"No, it's, it's more of a fifth date kinda revelation.",10
1,1,"Oh, so there is gonna be a fifth date?",9
1,1,Isn't there?,2
1,1,"Yeah... yeah, I think there is. -What were you gonna say?",11
1,1,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",16
1,1,"Oh God, oh God, I am sorry... I am so sorry...",11
1,1,It's okay...,2
1,1,I know being spit on is probably not what you need right now. Um... how long?,16
1,1,Two years.,2
1,1,Wow! I'm-I'm-I'm glad you smashed her watch!,7
1,1,"So you still think you, um... might want that fifth date?",11
1,1,"...Yeah. Yeah, I do.",4
1,1,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.",20
1,1,Oh...see... but Joanne loved Chachi! That's the difference!,8
1,1,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",27
1,1,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",16
1,1,"Angela's the screamer, Andrea has cats.",6
1,1,Right. Thanks. It's June. I'm outta here.,7
1,1,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",23
1,1,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",15
1,1,That is amazing.,3
1,1,Congratulations.,1
1,1,"Y'know, I figure if I can make coffee, there isn't anything I can't do.",14
1,1,"If can invade Poland, there isn't anything I can't do.",10
1,1,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry...",26
1,1,"Oh good, Lenny and Squigy are here.",7
1,1,Morning. Good morning.,3
1,1,Morning.,1
1,1,"Morning, Paul.",2
1,1,"Hello, Paul.",2
1,1,"Hi, Paul, is it?",4
1,1,Thank you! Thank you so much!,6
1,1,Stop!,1
1,1,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.",21
1,1,We'll talk later.,3
1,1,Yeah. Thank you.,3
1,1,That wasn't a real date?! What the hell do you do on a real date?,15
1,1,"Shut up, and put my table back.",7
1,1,Okayyy!,1
1,1,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",21
1,1,"So, like, you guys all have jobs?",7
1,1,"Yeah, we all have jobs. See, that's how we buy stuff.",11
1,1,"Yeah, I'm an actor.",4
1,1,Wow! Would I have seen you in anything?,8
1,1,I doubt it. Mostly regional work.,6
1,1,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",20
1,1,"Look, it was a job all right?",7
1,1,"'Look, Gippetto, I'm a real live boy.'",7
1,1,I will not take this abuse.,6
1,1,"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy...""",14
1,1,"You should both know, that he's a dead man. Oh, Chandler?",11
1,1,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,16
1,1,I can see that. You look like you slept with a hanger in your mouth.,15
1,1,"I know, he's just so, so... Do you remember you and Tony DeMarco?",13
1,1,"Oh, yeah.",2
1,1,"Well, it's like that. With feelings.",6
1,1,Oh wow. Are you in trouble.,6
1,1,Big time!,2
1,1,Want a wedding dress? Hardly used.,6
1,1,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",41
1,1,"Oh, look, wish me luck!",5
1,1,What for?,2
1,1,I'm gonna go get one of those job things.,9
1,1,"Hey, Monica!",2
1,1,"Hey Frannie, welcome back! How was Florida?",7
1,1,"You had sex, didn't you?",5
1,1,How do you do that?,5
1,1,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",18
1,1,You know Paul?,3
1,1,"Paul the Wine Guy? Oh yeah, I know Paul.",9
1,1,You mean you know Paul like I know Paul?,9
1,1,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",21
1,1,Of course it was a line!,6
1,1,"Why?! Why? Why, why would anybody do something like that?",10
1,1,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,15
1,1,I hate men! I hate men!,6
1,1,"Oh no, don't hate, you don't want to put that out into the universe.",14
1,1,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,23
1,1,"All right, c'mere, gimme your feet.",6
1,1,"I just thought he was nice, y'know?",7
1,1,I can't believe you didn't know it was a line!,10
1,1,Guess what?,2
1,1,You got a job?,4
1,1,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,15
1,1,And yet you're surprisingly upbeat.,5
1,1,"You would be too if you found John and David boots on sale, fifty percent off!",16
1,1,"Oh, how well you know me...",6
1,1,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",18
1,1,How'd you pay for them?,5
1,1,"Uh, credit card.",3
1,1,And who pays for that?,5
1,1,Um... my... father.,3
1,1,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.",19
1,1,"C'mon, you can't live off your parents your whole life.",10
1,1,I know that. That's why I was getting married.,9
1,1,"Give her a break, it's hard being on your own for the first time.",14
1,1,Thank you.,2
1,1,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",72
1,1,The word you're looking for is 'Anyway'...,7
1,1,"All right, you ready?",4
1,1,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!",29
1,1,"You can, I know you can!",6
1,1,I don't think so.,4
1,1,"Come on, you made coffee! You can do anything!",9
1,1,"C'mon, cut. Cut, cut, cut,...",5
1,1,"Cut, cut, cut, cut, cut, cut, cut...",7
1,1,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...,17
1,1,Rachel! That was a library card!,6
1,1,"Cut, cut, cut, cut, cut, cut, cut..",7
1,1,"Y'know, if you listen closely, you can hear a thousand retailers scream.",12
1,1,Welcome to the real world! It sucks. You're gonna love it!,11
1,1,"Well, that's it You gonna crash on the couch?",9
1,1,"No. No, I gotta go home sometime.",7
1,1,You be okay?,3
1,1,Yeah.,1
1,1,"Hey Mon, look what I just found on the floor. What?",11
1,1,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",17
1,1,Goodnight.,1
1,1,Goodnight.,1
1,1,"Mmm. Oh, no-",3
1,1,Sorry-,1
1,1,"No no no, go-",4
1,1,"No, you have it, really, I don't want it-",9
1,1,Split it?,2
1,1,Okay.,1
1,1,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",21
1,1,I knew.,2
1,1,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,15
1,1,I did.,2
1,1,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",35
1,1,"Yeah, maybe...",2
1,1,"Okay... okay, maybe I will...",5
1,1,Goodnight.,1
1,1,Goodnight.,1
1,1,"See ya.... Waitwait, what's with you?",6
1,1,I just grabbed a spoon.,5
1,1,I can't believe what I'm hearing here.,7
1,1,I can't believe what I'm hearing here...,7
1,1,What? I-I said you had a-,6
1,1,What I said you had...,5
1,1,Would you stop?,3
1,1,"Oh, was I doing it again?",6
1,1,Yes!,1
1,1,"I said that you had a nice butt, it's just not a great butt.",14
1,1,"Oh, you wouldn't know a great butt if it came up and bit ya.",14
1,1,There's an image.,3
1,1,Would anybody like more coffee?,5
1,1,"Did you make it, or are you just serving it?",10
1,1,I'm just serving it.,4
1,1,"Yeah. Yeah, I'll have a cup of coffee.",8
1,1,"Kids, new dream... I'm in Las Vegas.",7
1,1,"Ahh, miss? More coffee?",4
1,1,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.",20
1,1,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",9
1,2,"What you guys don't understand is, for us, kissing is as important as any part of it.",17
1,2,"Yeah, right!.......Y'serious?",2
1,2,"Oh, yeah!",2
1,2,Everything you need to know is in that first kiss.,10
1,2,Absolutely.,1
1,2,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",31
1,2,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",19
1,2,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",40
1,2,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",24
1,2,....Are we still talking about sex?,6
1,2,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",16
1,2,"Well, she has issues.",4
1,2,Does she.,2
1,2,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",26
1,2,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",17
1,2,"Speaking of issues, isn't that your ex-wife?",7
1,2,No. No.,2
1,2,"Yes, it is. Carol! Hi!",5
1,2,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",17
1,2,Hi.,1
1,2,So.,1
1,2,"You look great. I, uh... I hate that.",8
1,2,Sorry. You look good too.,5
1,2,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",13
1,2,A lesbian?,2
1,2,"Well... you never know. How's, um.. how's the family?",9
1,2,"Marty's still totally paranoid. Oh, and, uh-",7
1,2,"Why- why are you here, Carol?",6
1,2,I'm pregnant.,2
1,2,Pregnant?!,1
1,2,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",16
1,2,...Then I've already seen this one!,6
1,2,Are you through with that?,5
1,2,"Yeah, sorry, the swallowing slowed me down.",7
1,2,Whose little ball of paper is this?!,7
1,2,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead.",33
1,2,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- -but, it's fine!",15
1,2,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",18
1,2,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",18
1,2,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",23
1,2,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",16
1,2,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.",28
1,2,"Ew, ew, ew, ew ew ew ew ew!",8
1,2,What?,1
1,2,Ugly Naked Guy got a Thighmaster!,6
1,2,Eeaagh!,1
1,2,Has anybody seen my engagement ring?,6
1,2,"Yeah, it's beautiful.",3
1,2,"Oh God, oh God, oh God oh God oh God oh God....",12
1,2,"No, look, don't touch that!",5
1,2,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",55
1,2,"Easy Rach, we'll find it. Won't we!",7
1,2,Oh! Yeah!,2
1,2,Oh! Yeah!,2
1,2,"Alright, when'd'ya have it on last?",6
1,2,Doy! Probably right before she lost it!,7
1,2,You don't get a lot of 'doy' these days...,9
1,2,"I know I had it this morning, and I know I had it when I was in the kitchen with...",20
1,2,...Dinah?,1
1,2,"Ohhhhh, don't be mad...",4
1,2,You didn't.,2
1,2,"Oh, I am sorry...",4
1,2,I gave you one job!,5
1,2,"Oh, but look how straight those noodles are!",8
1,2,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",16
1,2,I just... can't do it.,5
1,2,Boys? We're going in.,4
1,2,.....Hi.,1
1,2,Wow. That is not a happy hi.,7
1,2,Carol's pregnant.,2
1,2,Ooh! I found it!,4
1,2,W-w-wh-... wha-... w-w-w-...,3
1,2,"Yeah. Do that for another two hours, you might be where I am right about now.",16
1,2,"Kinda puts that whole pillow thing in perspective, huh, Mon?",10
1,2,"Well now, how-how do you fit into this whole thing?",10
1,2,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.",30
1,2,She is so great! I miss her.,7
1,2,What does she mean by 'involved'?,6
1,2,"I mean presumably, the biggest part of your job is done.",11
1,2,"Anyway, they want me to go down to this- sonogram thing with them tomorrow.",14
1,2,So what are you gonna do?,6
1,2,"I have no idea. No matter what I do, though, I'm still gonna be a father.",16
1,2,".....Well, this is still ruined, right?",6
1,2,"Oh, Martha Ludwin's daughter is gonna call you. Mmm! What's that curry taste?",13
1,2,Curry.,1
1,2,Mmmm!,1
1,2,"I- I think they're great! I, I really do.",9
1,2,"Do you remember the Ludwins? The big one had a thing for you, didn't she?",15
1,2,They all had a thing for him.,7
1,2,"Aw, Mom...",2
1,2,"I'm sorry, why is this girl going to call me?",10
1,2,"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-",26
1,2,"No Mom, I don't have a restaurant, I work in a restaurant.",12
1,2,"Well, they don't have to know that...",7
1,2,"Ross, could you come and help me with the spaghetti, please?",11
1,2,Yeah.,1
1,2,"Oh, we're having spaghetti! That's.... easy.",6
1,2,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.",32
1,2,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",21
1,2,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,20
1,2,"Well, at least she had the chance to leave a man at the altar...",14
1,2,What's that supposed to mean?,5
1,2,Nothing! It's an expression.,4
1,2,No it's not.,3
1,2,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",42
1,2,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer.",41
1,2,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.",24
1,2,"So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks?",19
1,2,"Okay! Okay. Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.",50
1,2,And you knew about this?!,5
1,2,"Your folks are really that bad, huh?",7
1,2,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.",20
1,2,"Boy, I know they say you can't change your parents,... boy, if you could- -I'd want yours.",17
1,2,Must pee.,2
1,2,"Y'know, it's even worse when you're twins.",7
1,2,You're twins?,2
1,2,"Yeah. We don't speak. She's like this high-powered, driven career type.",11
1,2,What does she do?,4
1,2,She's a waitress.,3
1,2,"All right, you guys, I kinda gotta clean up now.",10
1,2,"Chandler, you're an only child, right? You don't have any of this.",12
1,2,"Well, no, although I did have an imaginary friend, who... my parents actually preferred.",14
1,2,"The lights, please..",3
1,2,...How long was I in there?,6
1,2,I'm just cleaning up.,4
1,2,D'ya.. uh.. d'ya need any help?,6
1,2,"Uh.. okay, sure! Thanks!",4
1,2,"Anyway.. um.. So, you- uh- you nervous about Barry tomorrow?",10
1,2,Oh.. a little..,3
1,2,Mm-hmm..,1
1,2,A lot.,2
1,2,Mm.,1
1,2,"So, got any advice? Y'know, as someone who's recently been- dumped?",11
1,2,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...",63
1,2,"Oh, you've got Carol tomorrow.. When did it get so complicated?",11
1,2,Got me.,2
1,2,Remember when we were in high school together?,8
1,2,Yeah.,1
1,2,"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? ..Ross?",19
1,2,"Yes, yes!",2
1,2,"Oh! Man, I never thought I'd be here..",8
1,2,Me either...,2
1,2,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",15
1,2,Hi.,1
1,2,"Ross, you remember Susan.",4
1,2,How could I forget?,4
1,2,Ross.,1
1,2,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",12
1,2,Dr. Oberman.,2
1,2,..Dr. Oberman. Okay. And is he-,6
1,2,She.,1
1,2,"-she, of course, she- uh- familiar with our.. special situation?",10
1,2,"Yes, and she's very supportive.",5
1,2,"Okay, that's great. No, I'm- Oh.",6
1,2,Thanks.,1
1,2,"Quack, quack..",2
1,2,Ross? That opens my cervix.,5
1,2,Barry?,1
1,2,C'mon in.,2
1,2,Are you sure?,3
1,2,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",11
1,2,Huh?!,1
1,2,"So, how ya doin?",4
1,2,I'm- uh- I'm okay... You look great!,7
1,2,"Yeah, well..",2
1,2,"Dr. Farber, Jason Greenstein's gagging.",5
1,2,Be right there. Be back in a sec.,8
1,2,I dumped him.,3
1,2,Okay.,1
1,2,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",22
1,2,Give me a 'for instance'.,5
1,2,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",17
1,2,Marlon-,1
1,2,Marlon?!,1
1,2,"-if it's a boy, Minnie if it's a girl.",9
1,2,...As in Mouse?,3
1,2,As in my grandmother.,4
1,2,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",15
1,2,Julia..,1
1,2,We agreed on Minnie.,4
1,2,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",25
1,2,Sorry about that. So. What have you been up to?,10
1,2,"Oh, not much. I-I got a job.",7
1,2,"Oh, that's great.",3
